genes
RNF14
UBE2Q2
RPEL1
PMM2
ZNF709
ZNF708
COPRS
ZNF707
RNF115
RNF111
GRIN1
DHX9
LRRTM3
NUP98
XPC
SP1
XPA
SP3
NUP93
SP7
GOLIM4
RAB40C
RAB40B
SPPL2A
NSL1
UGCG
ATP2A1
ATP2A3
ITGA1
ITGA2
NOP2
ITGA6
DENND4A
DENND4B
FBXL13
FBXL12
HRH3
FBXL19
FBXL18
GHDC
GRP
THSD4
THSD1
COL4A5
COL4A2
COL4A1
OR8J3
GRN
CHST3
CHST7
CHST6
HLCS
ITGAV
HIBCH
ITGAM
SPR
SMAD9
SMAD4
SMAD5
SMAD6
SMAD7
SMAD2
SMAD3
MUS81
NECAP1
IGF2R
SLC36A4
SLC36A2
ARTN
ART3
TCEA1
KDM2A
COX4I1
ABCB4
KDM2B
OR6P1
MCF2L
LEO1
ATP1A1
MGRN1
SPHK2
MDH1
ZNF41
IFT80
IFT88
CNTF
IL10RB
ATG4C
ATG4A
ATG4D
GPT2
PNP
CFD
CREBBP
ATP6V0E1
ATP6V0E2
AAAS
NAALAD2
NODAL
COPG1
APP
NRXN3
NRXN2
NRXN1
APC
TMEM179B
ABCE1
UQCRC2
UQCRC1
SLC4A2
RETSAT
KHDRBS1
KHDRBS2
DPYSL4
TARS2
DPYSL2
DPYSL3
OSTM1
KRTAP10-12
KRTAP10-11
KRTAP10-10
IGFBP3
IGFBP1
HBE1
IGFBP5
CYP2R1
GJA4
GJA5
GJA8
CYP8B1
KDM3B
ZNF114
KDM3A
OR4D2
APIP
EIF2B5
EIF2B2
EIF2B3
EIF2B1
PRKAR2A
MAGT1
TXNIP
CFLAR
MECOM
ITGA2B
FANCE
CEPT1
NLGN2
LRSAM1
NUP107
ASGR1
FOXL2
RIT1
OR5AN1
ZMAT5
NR1D2
TIPIN
CDC5L
RAC1
VCL
CPLX1
AP2A1
AP2A2
PBX1
NSUN2
NSUN4
NSUN6
TUBG1
TUBG2
PTCH2
PTCH1
PAGR1
RAD9B
RAD9A
B3GAT3
B3GAT2
CPPED1
TTC30B
CALM1
HRH4
DLGAP3
DLGAP1
DLGAP4
FBXL14
CDX2
CLCN1
CLCN6
CLCN4
BRD8
BRD7
PTPN18
DNAJA4
AKT1
PTPN13
PTPN12
PTPN11
GALR1
SETD1B
SEH1L
MRPL22
LRFN4
GAB2
GAB1
HABP4
NDRG1
SRSF5
SRSF4
SRSF7
SRSF6
SRSF1
SRSF3
SRSF2
SRSF9
CDK2
RNF130
DNAJB11
RNF135
RNF138
RNF139
CDK5
HOXA1
MRC2
LPAR2
ZNF583
ZNF582
ZNF584
ZNF586
HAPLN1
OR8U1
MTRF1L
MYO1C
CHMP3
DENND6B
CHMP6
CHMP5
DENND6A
CTPS1
SULT6B1
LY6G6C
LY6G6D
KRTAP19-2
KRTAP19-3
KRTAP19-1
KRTAP19-6
KRTAP19-7
KRTAP19-4
KRTAP19-5
KRTAP19-8
ATAT1
GALNTL5
SRC
LCN9
SRM
SRR
LGALS3
NMS
EIF2AK3
EIF2AK2
TDG
ADCY9
EREG
ASAP1
OCRL
LPGAT1
TIMM17B
GCNT4
TIMM17A
LPCAT2
LPCAT3
ALOX5
MID1IP1
PIGB
PIGC
PIGF
PIGG
PIGH
PIGK
PIGM
PIGN
PIGO
PIGT
PIGU
WRAP53
PIGW
PIGX
PIGY
PIGZ
KRT25
TAX1BP1
TAX1BP3
ANKLE2
RHPN2
SRRM1
BBIP1
SRRM2
PDK1
RGL1
PDK3
ALPI
PTGS1
ZFAND6
SLC39A14
EIF1AX
NTRK1
NTRK2
NTRK3
ARHGAP23
ARHGAP21
ARHGAP26
SAP18
ARHGAP24
ARHGAP29
SLC20A1
SYDE1
DDIT3
DNAJC11
COL19A1
PCGF2
MYSM1
MLYCD
BMP4
DR1
OR5R1
FEM1C
TERF2
TERF1
FEM1A
PTPMT1
RSAD2
LIAS
CHD1
CHD4
CAP1
CAP2
NPC1
TTC5
IL4R
ATP10D
TTC8
DYNC1LI1
DYNC1LI2
TPRKB
PRDM16
ABCG1
ABCG2
MPL
AVP
MPI
POLRMT
DYSF
MCPH1
KDM1A
KDM1B
PLRG1
OR1S1
OR1S2
GADL1
KRTAP5-11
FCER1G
AKR1B15
SRD5A3
FAM49B
ZFP36L1
GGA1
GGA3
GGA2
PKD2
GJC1
ZNF138
PRKACA
PSMB8
PSMB7
ZNF131
PSMB5
PSMB2
ZNF136
MAF1
TDGF1
RMI1
RMI2
MBL2
KCNK5
KCNK6
MLH3
KCNK1
MLH1
LTN1
ACOT11
ACOT12
ACOT13
SH3KBP1
CRYM
NICN1
PMVK
GRIN2C
GNA14
GRIN2A
GNA13
GNA11
SH2B3
IL6ST
SBF1
CDC73
SEMG1
WEE1
TAS2R14
TAS2R16
BCAT1
GTF2F1
GTF2F2
AKAP9
CYP26A1
PSTK
HSP90B1
KRR1
KBTBD6
CETN2
CCL28
DIO1
H3F3A
CCL25
MAU2
UCK1
UCK2
TP53I3
CUX1
BRF2
DNAJC8
MB
DNAJC5
DNAJC6
GLYATL1
DNAJC2
GOSR2
GOSR1
RALBP1
RAP1B
RAP1A
SPOPL
ZNF830
ZNF839
MTNR1A
PHAX
OR51V1
ACAT2
LIMD1
LDLR
OR8S1
TPCN2
TAS2R9
TAS2R7
SLC17A6
TAS2R5
TAS2R1
CDK5RAP2
MYF5
ITCH
CHMP4C
BAX
CTSK
OR52L1
SLC37A1
MYOD1
PMPCA
CDK12
CDK13
ST5
NEO1
ATP6V1B2
ZNF304
ZNF300
SEC61B
MMP20
P2RY4
TFG
HVCN1
CTNNBIP1
PPP3CA
PPP3CB
PPP3CC
KIAA1549
LRRC41
LRRC49
B3GNT7
TSFM
B3GNT9
ADRA2B
DAAM1
YIF1A
TLR10
LRRC4B
FN1
ATP5J
OR6T1
SYT5
SYT7
TIAL1
ATP5L
NCSTN
SAP30
GNAI2
ANGPT1
OR5T1
OR5T3
OR5T2
ICMT
FCF1
ATP6V0A1
GUCA1A
GUCA1C
GUCA1B
KRT75
KRT76
KRT72
ATM
ATR
ACOXL
BRIP1
HFE2
TTC26
DOT1L
PATL1
CARS
PODXL2
U2SURP
IL6R
ENO2
ENO3
SYCP2
SYCP1
MCEMP1
ACOX3
ACOX1
SLC22A12
SLC22A13
OBSCN
DAGLA
PTK2
PTK6
RABGAP1
PRKAA2
PRKAA1
ITGB3BP
SORBS1
SORBS3
ANOS1
ARHGDIA
MATN3
MATN4
CES2
EBF1
HBA1
LMNA
BDH2
BDH1
DDX23
DDX21
UNC13D
ZNF92
FLVCR1
AFF4
RAET1E
RAET1G
RAB3IP
FBXO10
FAM3C
GGPS1
SFTA3
PARD6G
PARD6B
PARD6A
PLA2G6
PLA2G5
ERBB2
ERBB3
SHC1
ERBB4
SHC3
OR2G3
OR2G2
OR2G6
FBLIM1
DAXX
CDC16
NT5E
GALNT1
UNC5B
VGF
CCP110
PKNOX1
GNAQ
GNAS
MED13L
PTCD3
GNAL
HLTF
AGFG1
ASNA1
KRT3
FST
KRT4
VPS45
TAS2R31
NMNAT3
NMNAT1
ALOX12B
TAS2R39
EPB41L3
EPB41L2
ACSS2
KIDINS220
VPS4A
VPS4B
SLC43A2
SLC43A1
RRP36
WNT3
LATS1
WNT4
GLYCAM1
BLMH
RECK
MRPL37
INSR
SPTBN4
SPTBN2
SPTBN1
EBAG9
KLF15
TFAP2C
TFAP2B
TFAP2D
GBE1
PCNA
SLC44A1
SLC44A2
SLC44A3
MSI1
UTY
ENGASE
SAMHD1
RPA4
DNPH1
C1D
NDUFS2
NDUFS3
NDUFS4
NDUFS7
COQ5
C1R
UFD1L
ILF2
ZRANB1
MUC21
ATP9B
BOC
DENND2C
DENND2A
DENND2D
OR52J3
WWC1
INPP4A
MICAL1
PHC1
PHC2
TRMT10C
AP1G1
SAFB
MGMT
H2AFV
H2AFZ
RNF8
RNF7
RNF4
RNF5
NCAPG2
CLTC
NGLY1
DPEP1
DPEP3
NLRX1
EPM2A
ISCA1
RNF103
ISCA2
ACTR8
BAIAP2
ACTR5
ACTR3
ACTR2
CLUAP1
KRT84
FBF1
GNRHR
MYRIP
POLDIP3
GP1BA
OTULIN
PTPRU
TINF2
PITPNM1
NKX3-2
PITPNM3
PITPNM2
ZNF597
ADAM10
ADAM11
ADAM15
ADAM19
MEPE
HAGH
CPNE1
WNT8B
DNMT3A
DNMT3L
U2AF1L4
NDEL1
SNRPG
SHANK1
RGS9BP
PCSK2
PRKAG3
PRKAG2
PCSK6
HIPK2
HIPK1
LEMD3
NCAN
NAPG
NAPB
NAPA
YAF2
ODAM
ZNF175
DDX42
DDX47
PTEN
EIF5A2
LGR4
ELAVL1
CDKN1B
CDKN1A
UBE2D2
POFUT1
EDNRA
SAP130
FARSB
APOO
APOH
REG3G
CCDC59
TMEM129
PAXIP1
VPRBP
SLC35B3
FBXO30
SLC35B4
FBXO32
IGFBP6
FLNA
MBOAT2
MBOAT1
MBOAT7
MBOAT4
SPSB3
SPSB1
SPSB4
BPGM
UNC79
CDC34
CDC37
ALAS1
OR2T34
OR2T35
S100A1
SEC22C
LONRF1
BIRC3
BIRC2
APBA1
APBA3
GJA9
PTPRZ1
ZNF559
VPS25
ATP13A1
DYNC1I2
ATP13A4
SKA2
ADAT1
ADAT3
ADAT2
PLEKHO2
E2F7
E2F6
E2F5
E2F4
E2F3
ACBD3
ACBD6
ACBD5
ACBD4
PPP1R13L
EEF2
ZNF337
RLBP1
IZUMO1
PYCR2
PYCR1
GNG10
GNG11
GNG12
IL36A
IL36B
NT5C1B
LIPA
LIPC
RPLP0
LIPE
LIPF
LIPJ
LIPM
DFFA
DFFB
SEC24D
REV3L
SEC24A
SEC24C
SEC24B
RNF19B
OR4A47
PYY
MRPL43
MRPL42
MRPL44
MRPL49
ZNF699
RILP
ZNF691
ZNF692
ZNF697
ARFGAP2
ARFGAP3
ARFGAP1
UNC93B1
LAMB2
CYSLTR2
COPZ1
COPZ2
RUVBL1
RUVBL2
U2AF1
U2AF2
MPHOSPH6
BMX
GPR161
DHPS
ZZZ3
SHB
DYNC2H1
MGA
MTHFD2
MTHFD1
TBP
NSD1
DDA1
ADSS
GCH1
OR1D4
STBD1
OR1D2
ADSL
TIMMDC1
ACVR1C
ZNF436
ZNF431
ZNF430
ZNF433
ZNF432
ZNF439
RALGDS
NUDT12
DLL1
NUDT11
NUDT16
NUDT15
ZW10
NUDT19
OR6X1
KEL
RTCB
STX3
STX4
RPS3A
CPN1
SLC4A10
STAB1
STAB2
MTMR14
ECE1
CFHR4
PHACTR2
NOP56
EVC2
AP1B1
PHYKPL
OR5H6
OR5H1
OR5H2
CDC42EP3
TXLNA
BMF
ABI2
ABI1
OR6C75
OR6C74
ACADVL
RAB4B
OR6C70
RAB4A
KRT31
KRT35
AOC3
KRT37
IL21
IL27
KIF2A
CAV3
AXL
