genes
OR4F5
DDX11L1
OR4G11P
LINC00115
RP11-206L10.10
RP11-34P13.8
MIR1302-10
WASH7P
OR4G4P
AL627309.1
RP11-34P13.14
RP11-34P13.15
RP11-34P13.16
CICP27
RP11-34P13.7
RP11-34P13.9
RNU6-1100P
AP006222.1
AP006222.2
RP5-857K21.3
CATG00000042732.1
RP5-857K21.1
RP5-857K21.2
WBP1LP6
OR4F16
MTATP6P1
MTND1P23
MTND2P28
RP5-857K21.5
CATG00000042733.1
MTATP8P1
RP5-857K21.11
RP5-857K21.7
hsa-mir-6723
CICP3
RP5-857K21.4
RP11-206L10.1
RP11-206L10.9
RP11-206L10.4
RP11-206L10.5
RP11-206L10.2
RNU6-1199P
RP11-206L10.3
AL669831.1
RP11-206L10.8
FAM87B
RP11-206L10.11
AC138393.1
RP11-54O7.16
CATG00000042782.1
RP11-504P24.5
RP11-54O7.1
RP11-54O7.2
RP11-54O7.3
AL645608.1
NOC2L
C1orf170
AGRN
CATG00000042920.1
CATG00000042982.1
RP11-54O7.14
CATG00000006163.1
UBE2J2
RP5-902P8.10
SCNN1D
CATG00000043384.1
ATAD3B
RP4-758J18.10
VWA1
RP11-345P4.6
TMEM240
RP1-283E3.4
MMP23A
NADK
AL645728.3
CATG00000043581.1
CDK11A
CDK11B
MMP23B
SLC35E2
CATG00000057235.1
RP1-283E3.8
RP11-345P4.10
CATG00000043609.1
SLC35E2B
CALML6
CATG00000043630.1
C1orf222
CATG00000067532.1
TMEM52
CATG00000071025.1
GABRD
RP11-547D24.1
AL590822.1
RP11-181G12.5
RP11-181G12.4
CATG00000043759.1
SKI
AL513477.1
RP4-740C4.8
RP4-740C4.9
PLCH2
AL590822.2
RP3-395M20.2
RP3-395M20.3
AL589739.1
RP4-713A8.1
TNFRSF14
RP4-740C4.7
RER1
RP13-436F16.1
TTC34
HES5
RP3-395M20.12
CATG00000043953.1
FAM213B
MMEL1
CATG00000096867.1
RP11-740P5.2
RP11-740P5.3
PRDM16
CATG00000044101.1
RP11-22L13.1
CATG00000103624.1
ACTRT2
CATG00000044153.1
RP11-168F9.2
RP11-46F15.2
TPRG1L
DFFB
TP73-AS1
CATG00000044391.1
CCDC27
RP13-614K11.1
RP13-614K11.2
CATG00000116252.1
AL691523.1
C1orf174
CATG00000116382.1
RP13-15E13.1
CATG00000116875.1
CATG00000015649.1
CATG00000073777.1
RP1-37J18.2
MIR4417
CATG00000001608.1
CHD5
CATG00000002831.1
CATG00000045030.1
CATG00000002314.1
RPL22
RP1-202O8.3
CATG00000002697.1
PLEKHG5
RNU6-731P
KLHL21
ZBTB48
TNFRSF25
snoU13
DNAJC11
THAP3
RNU1-8P
RP11-242F24.1
RP11-338N10.1
RP11-338N10.2
CATG00000045390.1
CATG00000004846.1
RP3-467L1.4
PARK7
CATG00000045457.1
PER3
CATG00000045522.1
ERRFI1
Y_RNA
CATG00000007455.1
RERE
SLC45A1
CATG00000045773.1
TNFRSF9
RP11-431K24.1
RP5-1115A15.1
RN7SL729P
ENO1
RP3-477M7.6
GPR157
CATG00000008775.1
CA6
CATG00000046193.1
RP13-392I16.1
CATG00000046148.1
SPSB1
Z98044.1
RP13-15M17.1
CATG00000046222.1
PIK3CD
C1orf200
RP11-558F24.4
SLC25A33
APITD1
APITD1-CORT
RP4-736L20.3
CATG00000046393.1
KIF1B
CATG00000014056.1
CATG00000046418.1
CATG00000015125.1
C1orf127
CATG00000014616.1
CATG00000046685.1
CORT
PEX14
CATG00000046691.1
EXOSC10
RP4-635E18.7
SRM
UBE2V2P3
UBIAD1
FBXO2
CATG00000017843.1
FBXO44
CATG00000019929.1
CATG00000017965.1
NPPA-AS1
DRAXIN
CATG00000047100.1
CATG00000047317.1
PLOD1
CATG00000047496.1
VPS13D
MIR4632
CATG00000047463.1
CATG00000022080.1
CATG00000022496.1
RP11-474O21.5
CATG00000047645.1
AADACL3
CATG00000047593.1
RP5-845O24.3
PRAMEF4
PRAMEF7
RP11-450I1.2
PRAMEF26
WI2-3308P17.2
PRAMEF25
PRAMEF11
RP11-450I1.4
HNRNPCL1
HNRNPCP5
PRAMEF10
RNU6-771P
RP11-219C24.8
PRAMEF8
PRAMEF22
RNU6-1072P
RP11-248D7.2
RP13-221M14.4
PRAMEF23
RP13-221M14.2
RP13-221M14.3
WI2-2994D6.1
PRAMEF5
PRAMEF3
PRAMEF16
PRAMEF21
PRAMEF17
PRAMEF20
LRRC38
CATG00000023630.1
RP4-597A16.2
CATG00000025088.1
CTA-520D8.2
KAZN
RNU6-1265P
CATG00000047874.1
RP11-344F13.1
CATG00000025100.1
CATG00000047898.1
RP4-704D23.1
CATG00000047967.1
CATG00000047960.1
CATG00000047993.1
C1orf195
CATG00000025338.1
RP1-21O18.3
CATG00000025492.1
CATG00000048000.1
CTRC
DNAJC16
RP3-467K16.2
AGMAT
RP4-680D5.8
RP3-467K16.4
CATG00000025657.1
EFHD2
SCARNA21
CELA2A
SLC25A34
RP11-288I21.1
CATG00000027770.1
CATG00000027865.1
RP11-5P18.3
TBC1D3P6
CATG00000048648.1
TMEM82
CATG00000048405.1
CATG00000048453.1
RP11-169K16.6
CATG00000027866.1
RP11-169K16.7
RP11-169K16.9
CATG00000027868.1
FAM131C
RP11-5P18.10
ARHGEF19
ARHGEF19-AS1
C1orf64
